component_type,slug,cve_id,template_id,title,affected_range,fixed_version,fixed_version_key,severity,cvss_score,reference
wp_theme,astra,,functions-php-disclosure,functions.php Full Path Disclosure,,,,low,,
wp_theme,astra-child,,functions-php-disclosure,functions.php Full Path Disclosure,,,,low,,
wp_theme,avada,,functions-php-disclosure,functions.php Full Path Disclosure,,,,low,,
wp_theme,blocksy,,functions-php-disclosure,functions.php Full Path Disclosure,,,,low,,
wp_theme,divi,,functions-php-disclosure,functions.php Full Path Disclosure,,,,low,,
wp_theme,generatepress,,functions-php-disclosure,functions.php Full Path Disclosure,,,,low,,
wp_theme,generatepress-child,,functions-php-disclosure,functions.php Full Path Disclosure,,,,low,,
wp_theme,hello-elementor,,functions-php-disclosure,functions.php Full Path Disclosure,,,,low,,
wp_theme,kadence,,functions-php-disclosure,functions.php Full Path Disclosure,,,,low,,
wp_theme,neve,,functions-php-disclosure,functions.php Full Path Disclosure,,,,low,,
wp_theme,oceanwp,,functions-php-disclosure,functions.php Full Path Disclosure,,,,low,,
wp_theme,storefront,,functions-php-disclosure,functions.php Full Path Disclosure,,,,low,,
wp_theme,twentyeighteen,,functions-php-disclosure,functions.php Full Path Disclosure,,,,low,,
wp_theme,twentyfifteen,,functions-php-disclosure,functions.php Full Path Disclosure,,,,low,,
wp_theme,twentyfourteen,,functions-php-disclosure,functions.php Full Path Disclosure,,,,low,,
wp_theme,twentynineteen,,functions-php-disclosure,functions.php Full Path Disclosure,,,,low,,
wp_theme,twentyseventeen,,functions-php-disclosure,functions.php Full Path Disclosure,,,,low,,
wp_theme,twentysixteen,,functions-php-disclosure,functions.php Full Path Disclosure,,,,low,,
wp_theme,twentythirteen,,functions-php-disclosure,functions.php Full Path Disclosure,,,,low,,
wp_theme,twentytwenty,,functions-php-disclosure,functions.php Full Path Disclosure,,,,low,,
wp_theme,twentytwenty-child,,functions-php-disclosure,functions.php Full Path Disclosure,,,,low,,
wp_theme,twentytwentyfour,,functions-php-disclosure,functions.php Full Path Disclosure,,,,low,,
wp_theme,twentytwentyone,,functions-php-disclosure,functions.php Full Path Disclosure,,,,low,,
wp_theme,twentytwentythree,,functions-php-disclosure,functions.php Full Path Disclosure,,,,low,,
wp_theme,twentytwentytwo,,functions-php-disclosure,functions.php Full Path Disclosure,,,,low,,
